------------------------------------------------------------------------------------
Date: 6/22/2026 -- 17:21:25 (uptime: 0d, 00h 00m 21s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 168
decoder.bytes                                 | Total                     | 77952
decoder.ipv4                                  | Total                     | 168
decoder.ethernet                              | Total                     | 168
decoder.tcp                                   | Total                     | 167
tcp.syn                                       | Total                     | 3
tcp.synack                                    | Total                     | 3
tcp.rst                                       | Total                     | 1
decoder.udp                                   | Total                     | 1
decoder.avg_pkt_size                          | Total                     | 464
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 4
flow.tcp                                      | Total                     | 3
flow.udp                                      | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 2
tcp.sessions                                  | Total                     | 3
tcp.ssn_from_pool                             | Total                     | 3
tcp.segment_from_pool                         | Total                     | 130
detect.alert                                  | Total                     | 15
detect.alerts_suppressed                      | Total                     | 3
app_layer.flow.smb                            | Total                     | 1
app_layer.tx.smb                              | Total                     | 4
app_layer.flow.dcerpc_tcp                     | Total                     | 2
app_layer.tx.dcerpc_tcp                       | Total                     | 3
app_layer.error.dcerpc_tcp.parser             | Total                     | 1
app_layer.flow.ntp                            | Total                     | 1
app_layer.tx.ntp                              | Total                     | 1
flow.end.state.new                            | Total                     | 1
flow.end.state.closed                         | Total                     | 3
flow.end.tcp_state.closed                     | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9800
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 4
flow.recycler.queue_max                       | Total                     | 4
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7154304
